RoleName,RoleArn
cdk-hnb659fds-lookup-role-233693416966-ca-central-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-lookup-role-233693416966-ca-central-1
cdk-hnb659fds-lookup-role-233693416966-us-east-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-lookup-role-233693416966-us-east-1
CloudSecAuditRole,arn:aws:iam::233693416966:role/CloudSecAuditRole
CloudSeerTrustedServiceRole,arn:aws:iam::233693416966:role/CloudSeerTrustedServiceRole
CodeGuruProfilerForwardToAmazonProfiler,arn:aws:iam::233693416966:role/CodeGuruProfilerForwardToAmazonProfiler
DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,arn:aws:iam::233693416966:role/DiscoveryAnalyzerTrustedService-DO-NOT-DELETE
EC2CapacityReservationService,arn:aws:iam::233693416966:role/EC2CapacityReservationService
EC2InstanceProfile,arn:aws:iam::233693416966:role/EC2InstanceProfile
eksclusterrole,arn:aws:iam::233693416966:role/eksclusterrole
example-role,arn:aws:iam::233693416966:role/example-role
GatedGardenAudit,arn:aws:iam::233693416966:role/GatedGardenAudit
GatedGardenInternalAudit,arn:aws:iam::233693416966:role/GatedGardenInternalAudit
GitHubActionsRole,arn:aws:iam::233693416966:role/GitHubActionsRole
GitHubActionsRoleforIAMUser,arn:aws:iam::233693416966:role/GitHubActionsRoleforIAMUser
IAMConfigRoleforAutomation,arn:aws:iam::233693416966:role/IAMConfigRoleforAutomation
IibsAdminAccess-DO-NOT-DELETE,arn:aws:iam::233693416966:role/IibsAdminAccess-DO-NOT-DELETE
IMDSv2-automigrator,arn:aws:iam::233693416966:role/IMDSv2-automigrator
InternalAuditInternal,arn:aws:iam::233693416966:role/InternalAuditInternal
IsengardAuditorRole-DO-NOT-DELETE,arn:aws:iam::233693416966:role/IsengardAuditorRole-DO-NOT-DELETE
IsengardCloudTrailRole,arn:aws:iam::233693416966:role/IsengardCloudTrailRole
IsengardConfigRole,arn:aws:iam::233693416966:role/IsengardConfigRole
IsengardRole-DO-NOT-DELETE,arn:aws:iam::233693416966:role/IsengardRole-DO-NOT-DELETE
IsengardRoleForDependencyAssuranceIamAnalyzer,arn:aws:iam::233693416966:role/IsengardRoleForDependencyAssuranceIamAnalyzer
IsengardRoleForOptInComputeOptimizer,arn:aws:iam::233693416966:role/IsengardRoleForOptInComputeOptimizer
Name_of_your_Role,arn:aws:iam::233693416966:role/security/Name_of_your_Role
NawsApplicationMetrics-DO-NOT-DELETE,arn:aws:iam::233693416966:role/NawsApplicationMetrics-DO-NOT-DELETE
OrganizationAccountAccessRole,arn:aws:iam::233693416966:role/OrganizationAccountAccessRole
OrthancRole,arn:aws:iam::233693416966:role/OrthancRole
ResourceConfigurationCollector-DO-NOT-DELETE,arn:aws:iam::233693416966:role/ResourceConfigurationCollector-DO-NOT-DELETE
sec-IAMPasswordLambdaRole,arn:aws:iam::233693416966:role/sec-IAMPasswordLambdaRole
ShadowTrooperRole,arn:aws:iam::233693416966:role/ShadowTrooperRole
stacksets-exec-07747c4a75e4555357cbac8c04dfd877,arn:aws:iam::233693416966:role/stacksets-exec-07747c4a75e4555357cbac8c04dfd877
StandardAuthorization,arn:aws:iam::233693416966:role/StandardAuthorization
tel-sh-security-iam-role-for-lambda,arn:aws:iam::233693416966:role/tel-sh-security-iam-role-for-lambda
TELUS-EventBridge-Detective-Controls-ca-central-1,arn:aws:iam::233693416966:role/security/TELUS-EventBridge-Detective-Controls-ca-central-1
TELUS-EventBridge-Detective-Controls-us-east-1,arn:aws:iam::233693416966:role/security/TELUS-EventBridge-Detective-Controls-us-east-1
TenantIamAcmRole,arn:aws:iam::233693416966:role/TenantIamAcmRole
test-role-demo-sprint14,arn:aws:iam::233693416966:role/iot/test-role-demo-sprint14
test-role-demo-sprint14-1,arn:aws:iam::233693416966:role/iot/test-role-demo-sprint14-1
test-role-demo-sprint14-3,arn:aws:iam::233693416966:role/iot/test-role-demo-sprint14-3
testcrossaccountrole,arn:aws:iam::233693416966:role/testcrossaccountrole
testfunction-role-12kck9vn,arn:aws:iam::233693416966:role/service-role/testfunction-role-12kck9vn
testfunctionerer-role-12kck9vn,arn:aws:iam::233693416966:role/service-role/testfunctionerer-role-12kck9vn
TestIAMRole1,arn:aws:iam::233693416966:role/TestIAMRole1
testrole,arn:aws:iam::233693416966:role/testrole
testrole1,arn:aws:iam::233693416966:role/testrole1
testrole11,arn:aws:iam::233693416966:role/testrole11
testrole1212,arn:aws:iam::233693416966:role/testrole1212
testrole121212,arn:aws:iam::233693416966:role/testrole121212
testrole12121212,arn:aws:iam::233693416966:role/testrole12121212
testrole12131,arn:aws:iam::233693416966:role/testrole12131
TestRole2,arn:aws:iam::233693416966:role/TestRole2
testrole3,arn:aws:iam::233693416966:role/testrole3
testroledad,arn:aws:iam::233693416966:role/testroledad
testroledad1,arn:aws:iam::233693416966:role/testroledad1
TurtleRoleManagement,arn:aws:iam::233693416966:role/TurtleRoleManagement
XenaAuditorRole-DO-NOT-DELETE,arn:aws:iam::233693416966:role/XenaAuditorRole-DO-NOT-DELETE
